Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        231   E6 00017820 GetStartupInfoA
        232   E7 000177A0 GetStartupInfoW
        233   E8 0000A150 GetStdHandle
        234   E9 00028890 GetStringTypeW
        235   EA 00034170 GetSystemDefaultLCID
        236   EB 00034150 GetSystemDefaultLangID
        237   EC 000139C0 GetSystemDirectoryA
        238   ED 00013A20 GetSystemDirectoryW
        239   EE 00018630 GetSystemInfo
        240   EF 00003670 GetSystemTime
        241   F0 00022BB0 GetTapeParameters
        242   F1 00022A30 GetTapePosition
        243   F2 00022C90 GetTapeStatus
        244   F3 00014700 GetTempFileNameA
        245   F4 00014860 GetTempFileNameW
        246   F5 00014500 GetTempPathA
        247   F6 00014610 GetTempPathW
        248   F7 0001A7E0 GetThreadContext
        249   F8 00034090 GetThreadLocale
        250   F9 0001A690 GetThreadPriority
        251   FA 000045E0 GetThreadSelectorEntry
        252   FB 0001AF70 GetThreadTimes
        253   FC 00003820 GetTickCount
        254   FD 00032D70 GetTimeFormatW
        255   FE 00003BC0 GetTimeZoneInformation
        256   FF 00034180 GetUserDefaultLCID
        257  100 00034160 GetUserDefaultLangID
        258  101 0001CD20 GetVDMCurrentDirectories
        259  102 00011000 GetVersion
        260  103 00014CD0 GetVolumeInformationA
        261  104 00014F50 GetVolumeInformationW
        262  105 00013A90 GetWindowsDirectoryA
        263  106 00013AF0 GetWindowsDirectoryW
        264  107 00004F90 GlobalAddAtomA
        265  108 00005000 GlobalAddAtomW
        266  109 0000D710 GlobalAlloc
        267  10A 0000E260 GlobalCompact
        268  10B 00004FD0 GlobalDeleteAtom
        269  10C 00004FB0 GlobalFindAtomA
        270  10D 00005020 GlobalFindAtomW
        271  10E 0000E270 GlobalFix
        272  10F 0000DFD0 GlobalFlags
        273  110 0000E110 GlobalFree
        274  111 00004FE0 GlobalGetAtomNameA
        275  112 00005040 GlobalGetAtomNameW
        276  113 0000DCF0 GlobalHandle
        277  114 0000DBE0 GlobalLock
        278  115 0000E2D0 GlobalMemoryStatus
        279  116 0000D910 GlobalReAlloc
        280  117 0000DED0 GlobalSize
        281  118 0000E2C0 GlobalUnWire
        282  119 0000E290 GlobalUnfix
        283  11A 0000DDC0 GlobalUnlock
        284  11B 0000E2B0 GlobalWire
        285  11C          HeapAlloc (forwarded to NTDLL.RtlAllocateHeap)
        286  11D 0000FEE0 HeapCreate
        287  11E 0000FF40 HeapDestroy
        288  11F          HeapFree (forwarded to NTDLL.RtlFreeHeap)
        289  120          HeapReAlloc (forwarded to NTDLL.RtlReAllocateHeap)
        290  121          HeapSize (forwarded to NTDLL.RtlSizeHeap)
        291  122 00005060 InitAtomTable
        292  123 000199D0 InitializeCriticalSection
        293  124 00025110 InterlockedDecrement
        294  125 00025130 InterlockedExchange
        295  126 000250F0 InterlockedIncrement
        296  127 0002D190 InvalidateConsoleDIBits
        297  128 00018AC0 IsBadCodePtr
        298  129 000189D0 IsBadHugeReadPtr
        299  12A 00018AA0 IsBadHugeWritePtr
        300  12B 00018920 IsBadReadPtr
        301  12C 00018AD0 IsBadStringPtrA
        302  12D 00018B60 IsBadStringPtrW
        303  12E 000189F0 IsBadWritePtr
        304  12F 00031990 IsDBCSLeadByte
        305  130 000318C0 IsValidCodePage
        306  131 0002FA30 LCMapStringW
        307  132 000251A0 LeaveCriticalSection
        308  133 00010930 LoadLibraryA
        309  134 00010970 LoadLibraryExA
        310  135 000109F0 LoadLibraryExW
        311  136 00010950 LoadLibraryW
        312  137 00018030 LoadModule
        313  138 00011230 LoadResource
        314  139 0000F440 LocalAlloc
        315  13A 0000FEC0 LocalCompact
        316  13B 00003990 LocalFileTimeToFileTime
        317  13C 0000FC50 LocalFlags
        318  13D 0000FD70 LocalFree
        319  13E 0000F970 LocalHandle
        320  13F 0000F860 LocalLock
        321  140 0000F610 LocalReAlloc
